tactic,surface,technique_count,avg_final_score,max_final_score,critical_count,medium_high_count,top_attack_vectors
Persistence,Data / Storage,37,7.82,10,24,12,T1053.005 Scheduled Task; T1547.001 Registry Run Keys / Startup Folder; T1554 Compromise Host Software Binary; T1037.004 RC Scripts; T1546.011 Application Shimming
Privilege Escalation,Network / Perimeter,14,7.81,10,7,6,T1078.002 Domain Accounts; T1037.004 RC Scripts; T1037 Boot or Logon Initialization Scripts; T1547 Boot or Logon Autostart Execution; T1546 Event Triggered Execution
Defense Impairment,Data / Storage,26,7.69,10,13,13,T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1222 File and Directory Permissions Modification; T1578 Modify Cloud Compute Infrastructure; T1556.008 Network Provider DLL
Defense Impairment,Public Internet / Edge,13,7.69,10,8,3,T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication; T1556.007 Hybrid Identity; T1687 Exploitation for Defense Impairment; T1553.001 Gatekeeper Bypass
Discovery,ESXi / Hypervisor,20,7.68,9.38,16,4,T1497.003 Time Based Checks; T1622 Debugger Evasion; T1082 System Information Discovery; T1124 System Time Discovery; T1018 Remote System Discovery
Collection,SaaS / Office / Email,22,7.58,10,17,0,T1119 Automated Collection; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking; T1213.006 Databases; T1213 Data from Information Repositories
Stealth,Server / Workload,140,7.57,10,87,40,T1036.005 Match Legitimate Resource Name or Location; T1027 Obfuscated Files or Information; T1574.001 DLL; T1036 Masquerading; T1480 Execution Guardrails
Privilege Escalation,Identity / IAM,102,7.56,10,60,32,T1053.005 Scheduled Task; T1548.002 Bypass User Account Control; T1068 Exploitation for Privilege Escalation; T1078.002 Domain Accounts; T1547.001 Registry Run Keys / Startup Folder
Defense Impairment,Network / Perimeter,20,7.5,10,10,8,T1685 Disable or Modify Tools; T1686 Disable or Modify System Firewall; T1556 Modify Authentication Process; T1687 Exploitation for Defense Impairment; T1556.008 Network Provider DLL
Credential Access,Data / Storage,42,7.48,10,31,3,T1056.001 Keylogging; T1056 Input Capture; T1003.001 LSASS Memory; T1552.001 Credentials In Files; T1056.002 GUI Input Capture
Stealth,Endpoint / User,127,7.46,10,77,37,T1036.005 Match Legitimate Resource Name or Location; T1574.001 DLL; T1140 Deobfuscate/Decode Files or Information; T1070.004 File Deletion; T1070.006 Timestomp
Discovery,Public Internet / Edge,11,7.43,9.0,8,3,T1018 Remote System Discovery; T1518 Software Discovery; T1049 System Network Connections Discovery; T1046 Network Service Discovery; T1614 System Location Discovery
Lateral Movement,Public Internet / Edge,14,7.41,10,10,1,T1210 Exploitation of Remote Services; T1072 Software Deployment Tools; T1534 Internal Spearphishing; T1021 Remote Services; T1550 Use Alternate Authentication Material
Lateral Movement,Identity / IAM,27,7.25,10,20,0,T1021.004 SSH; T1021.002 SMB/Windows Admin Shares; T1021.001 Remote Desktop Protocol; T1550.002 Pass the Hash; T1072 Software Deployment Tools
Persistence,Identity / IAM,130,7.11,10,82,26,T1053.005 Scheduled Task; T1505.003 Web Shell; T1133 External Remote Services; T1136.001 Local Account; T1078.002 Domain Accounts
Initial Access,Cloud Control Plane,14,7.05,10,10,1,T1133 External Remote Services; T1078 Valid Accounts; T1078.003 Local Accounts; T1078.004 Cloud Accounts; T1078.001 Default Accounts
Execution,Cloud Control Plane,15,7.04,10,9,5,T1072 Software Deployment Tools; T1053 Scheduled Task/Job; T1053.007 Container Orchestration Job; T1610 Deploy Container; T1204 User Execution
Command and Control,Network / Perimeter,63,6.84,10,44,1,T1105 Ingress Tool Transfer; T1573.001 Symmetric Cryptography; T1132.001 Standard Encoding; T1573.002 Asymmetric Cryptography; T1090 Proxy
Command and Control,Data / Storage,10,6.83,10,7,0,T1573 Encrypted Channel; T1071.002 File Transfer Protocols; T1104 Multi-Stage Channels; T1001.002 Steganography; T1219.002 Remote Desktop Software
Execution,Identity / IAM,26,6.76,10,11,12,T1053.005 Scheduled Task; T1072 Software Deployment Tools; T1053.002 At; T1053 Scheduled Task/Job; T1053.003 Cron
Discovery,Cloud Control Plane,22,6.73,10,12,8,T1040 Network Sniffing; T1082 System Information Discovery; T1518 Software Discovery; T1057 Process Discovery; T1518.001 Security Software Discovery
Execution,ESXi / Hypervisor,8,6.7,10,4,2,T1053 Scheduled Task/Job; T1053.003 Cron; T1059.004 Unix Shell; T1059.006 Python; T1059 Command and Scripting Interpreter
Discovery,Containers / Kubernetes,3,6.67,7.5,1,2,T1046 Network Service Discovery; T1069 Permission Groups Discovery; T1613 Container and Resource Discovery
Execution,Data / Storage,23,6.59,10,8,15,T1053.005 Scheduled Task; T1574.001 DLL; T1053.003 Cron; T1574.006 Dynamic Linker Hijacking; T1574.010 Services File Permissions Weakness
Discovery,Endpoint / User,32,6.53,9.38,17,14,T1497.003 Time Based Checks; T1622 Debugger Evasion; T1082 System Information Discovery; T1124 System Time Discovery; T1518 Software Discovery
Discovery,SaaS / Office / Email,10,6.5,10,5,4,T1040 Network Sniffing; T1087.003 Email Account; T1087 Account Discovery; T1201 Password Policy Discovery; T1538 Cloud Service Dashboard
Execution,Network / Perimeter,27,6.47,10,11,15,T1072 Software Deployment Tools; T1574.006 Dynamic Linker Hijacking; T1053.007 Container Orchestration Job; T1059.004 Unix Shell; T1059.006 Python
Lateral Movement,Network / Perimeter,24,6.46,10,15,1,T1210 Exploitation of Remote Services; T1021.004 SSH; T1021.002 SMB/Windows Admin Shares; T1021.001 Remote Desktop Protocol; T1570 Lateral Tool Transfer
Discovery,Server / Workload,50,6.43,10,26,20,T1040 Network Sniffing; T1497.003 Time Based Checks; T1622 Debugger Evasion; T1082 System Information Discovery; T1124 System Time Discovery
Command and Control,Cloud Control Plane,3,6.33,10,2,0,T1665 Hide Infrastructure; T1102 Web Service; T1437.001 Web Protocols
Collection,Identity / IAM,37,6.26,10,23,1,T1056.001 Keylogging; T1119 Automated Collection; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking; T1056 Input Capture
Command and Control,ICS / OT,8,6.25,10,5,0,T1090 Proxy; T1568.002 Domain Generation Algorithms; T1090.002 External Proxy; T1568 Dynamic Resolution; T1104 Multi-Stage Channels
Execution,Server / Workload,63,6.22,10,20,38,T1053.005 Scheduled Task; T1574.001 DLL; T1072 Software Deployment Tools; T1053.002 At; T1053 Scheduled Task/Job
Execution,SaaS / Office / Email,9,6.19,7.5,2,7,T1204 User Execution; T1677 Poisoned Pipeline Execution; T1059 Command and Scripting Interpreter; T1059.009 Cloud API; T1648 Serverless Execution
Initial Access,Server / Workload,9,6.18,10,3,5,T1078.002 Domain Accounts; T1659 Content Injection; T1078.004 Cloud Accounts; T1091 Replication Through Removable Media; T1566.003 Spearphishing via Service
Initial Access,Data / Storage,10,6.12,10,4,5,T1659 Content Injection; T1189 Drive-by Compromise; T1566 Phishing; T1195.001 Compromise Software Dependencies and Development Tools; T1091 Replication Through Removable Media
Impact,Data / Storage,34,6.1,10,21,0,T1486 Data Encrypted for Impact; T1490 Inhibit System Recovery; T1489 Service Stop; T1485 Data Destruction; T1657 Financial Theft
Execution,Public Internet / Edge,15,5.94,10,5,8,T1072 Software Deployment Tools; T1059.004 Unix Shell; T1610 Deploy Container; T1204 User Execution; T1204.003 Malicious Image
Credential Access,ESXi / Hypervisor,4,5.9,6.75,0,4,T1110 Brute Force; T1110.003 Password Spraying; T1110.001 Password Guessing; T1110.004 Credential Stuffing
Execution,Endpoint / User,51,5.89,10,13,33,T1053.005 Scheduled Task; T1574.001 DLL; T1053.002 At; T1053.003 Cron; T1574.006 Dynamic Linker Hijacking
Discovery,Identity / IAM,25,5.88,10,13,8,T1040 Network Sniffing; T1124 System Time Discovery; T1083 File and Directory Discovery; T1680 Local Storage Discovery; T1087.001 Local Account
Stealth,ICS / OT,2,5.62,7.5,1,0,T1620 Reflective Code Loading; T1574.013 KernelCallbackTable
Discovery,Network / Perimeter,29,5.18,10,15,6,T1040 Network Sniffing; T1082 System Information Discovery; T1124 System Time Discovery; T1018 Remote System Discovery; T1083 File and Directory Discovery
Discovery,Data / Storage,19,5.02,9.38,9,4,T1622 Debugger Evasion; T1018 Remote System Discovery; T1083 File and Directory Discovery; T1057 Process Discovery; T1680 Local Storage Discovery
Exfiltration,ICS / OT,4,5,10,2,0,T1048.002 Exfiltration Over Asymmetric Encrypted Non-C2 Protocol; T1048.001 Exfiltration Over Symmetric Encrypted Non-C2 Protocol; T1639.001 Exfiltration Over Unencrypted Non-C2 Protocol; T1639 Exfiltration Over Alternative Protocol
Collection,Data / Storage,65,4.96,10,32,2,T1056.001 Keylogging; T1074.001 Local Data Staging; T1560.001 Archive via Utility; T1119 Automated Collection; T1560 Archive Collected Data
Initial Access,Endpoint / User,5,4.75,7.5,1,3,T1195.001 Compromise Software Dependencies and Development Tools; T1091 Replication Through Removable Media; T1195.002 Compromise Software Supply Chain; T1195.003 Compromise Hardware Supply Chain; T1444 Masquerade as Legitimate Application
Initial Access,Network / Perimeter,24,4.52,10,8,7,T1133 External Remote Services; T1078.002 Domain Accounts; T1659 Content Injection; T1078.003 Local Accounts; T1190 Exploit Public-Facing Application
Initial Access,SaaS / Office / Email,20,4.52,10,7,5,T1078 Valid Accounts; T1078.004 Cloud Accounts; T1078.001 Default Accounts; T1189 Drive-by Compromise; T1566.002 Spearphishing Link
Initial Access,Public Internet / Edge,51,3.19,10,13,8,T1133 External Remote Services; T1078.002 Domain Accounts; T1078 Valid Accounts; T1659 Content Injection; T1078.003 Local Accounts
Initial Access,Identity / IAM,47,3.11,10,13,5,T1133 External Remote Services; T1078.002 Domain Accounts; T1078 Valid Accounts; T1659 Content Injection; T1078.003 Local Accounts
Reconnaissance,SaaS / Office / Email,6,1.8,2.08,0,0,T1598.003 Spearphishing Link; T1598 Phishing for Information; T1598.002 Spearphishing Attachment; T1598.001 Spearphishing Service; T1594 Search Victim-Owned Websites
Resource Development,Public Internet / Edge,33,1.38,2.08,0,0,T1585.001 Social Media Accounts; T1583 Acquire Infrastructure; T1588.004 Digital Certificates; T1585 Establish Accounts; T1587 Develop Capabilities
Resource Development,Network / Perimeter,21,1.37,2.08,0,0,T1585.001 Social Media Accounts; T1583 Acquire Infrastructure; T1588.004 Digital Certificates; T1585 Establish Accounts; T1586.001 Social Media Accounts
Resource Development,Server / Workload,2,1.25,1.25,0,0,T1587.001 Malware; T1588.001 Malware
Resource Development,ICS / OT,2,1.25,1.25,0,0,T1584.007 Serverless; T1583.007 Serverless
Reconnaissance,ESXi / Hypervisor,1,1.25,1.25,0,0,T1592.004 Client Configurations
Resource Development,Data / Storage,6,1.22,2.08,0,0,T1588 Obtain Capabilities; T1583.001 Domains; T1608.001 Upload Malware; T1608.004 Drive-by Target; T1608.003 Install Digital Certificate
Resource Development,Cloud Control Plane,12,1.18,2.08,0,0,T1583 Acquire Infrastructure; T1584 Compromise Infrastructure; T1583.003 Virtual Private Server; T1608.004 Drive-by Target; T1584.001 Domains
Resource Development,Identity / IAM,22,0.87,2.08,0,0,T1585.001 Social Media Accounts; T1588.004 Digital Certificates; T1585 Establish Accounts; T1586.001 Social Media Accounts; T1586 Compromise Accounts
Impact,ICS / OT,13,0.77,10,1,0,T1529 System Shutdown/Reboot; T0828 Loss of Productivity and Revenue; T0882 Theft of Operational Information; T0829 Loss of View; T0832 Manipulation of View
Persistence,ICS / OT,11,0.68,7.5,1,0,T1505.005 Terminal Services DLL; T0859 Valid Accounts; T1694.002 Hardcoded Credentials; T0889 Modify Program; T1693.001 System Firmware
Reconnaissance,Identity / IAM,22,0.66,2.08,0,0,T1598.003 Spearphishing Link; T1598 Phishing for Information; T1598.002 Spearphishing Attachment; T1598.001 Spearphishing Service; T1589.002 Email Addresses
Resource Development,Endpoint / User,2,0.62,0.62,0,0,T1588.003 Code Signing Certificates; T1587.002 Code Signing Certificates
Reconnaissance,Public Internet / Edge,45,0.52,2.08,0,0,T1598.003 Spearphishing Link; T1598 Phishing for Information; T1598.002 Spearphishing Attachment; T1598.001 Spearphishing Service; T1589.002 Email Addresses
Reconnaissance,Network / Perimeter,46,0.51,2.08,0,0,T1598.003 Spearphishing Link; T1598 Phishing for Information; T1598.002 Spearphishing Attachment; T1598.001 Spearphishing Service; T1589.002 Email Addresses
